Timeslot,Faculty,Student
S 9:30 AM,Faculty21,Student13
S 9:30 AM,Faculty32,Student19
S 9:30 AM,Faculty36,Student27
S 9:30 AM,Faculty10,Student43
S 9:30 AM,Faculty19,Student53
S 9:30 AM,Faculty9,Student56
S 9:30 AM,Faculty43,Student64
S 9:30 AM,Faculty29,Student2
S 9:30 AM,Faculty6,Student29
S 9:30 AM,Faculty4,Student30
S 9:30 AM,Faculty15,Student38
S 9:30 AM,Faculty23,Student48
S 9:30 AM,Faculty3,Student65
S 9:30 AM,Faculty27,Student67
S 9:30 AM,Faculty26,Student3
S 9:30 AM,Faculty35,Student9
S 9:30 AM,Faculty41,Student63
S 10:00 AM,Faculty12,Student25
S 10:00 AM,Faculty24,Student67
S 10:00 AM,Faculty2,Student14
S 10:00 AM,Faculty7,Student70
S 10:00 AM,Faculty18,Student72
S 10:00 AM,Faculty0,Student74
S 10:00 AM,Faculty22,Student21
S 10:00 AM,Faculty21,Student28
S 10:00 AM,Faculty32,Student31
S 10:00 AM,Faculty36,Student34
S 10:00 AM,Faculty39,Student47
S 10:00 AM,Faculty11,Student49
S 10:00 AM,Faculty10,Student58
S 10:00 AM,Faculty29,Student60
S 10:00 AM,Faculty6,Student62
S 10:00 AM,Faculty17,Student65
S 10:00 AM,Faculty9,Student69
S 10:00 AM,Faculty8,Student73
S 10:00 AM,Faculty43,Student10
S 10:00 AM,Faculty4,Student41
S 10:00 AM,Faculty40,Student66
S 10:00 AM,Faculty26,Student11
S 10:00 AM,Faculty23,Student27
S 10:00 AM,Faculty3,Student76
S 10:00 AM,Faculty27,Student19
S 10:30 AM,Faculty12,Student32
S 10:30 AM,Faculty24,Student2
S 10:30 AM,Faculty2,Student21
S 10:30 AM,Faculty7,Student71
S 10:30 AM,Faculty0,Student1
S 10:30 AM,Faculty18,Student3
S 10:30 AM,Faculty36,Student36
S 10:30 AM,Faculty21,Student39
S 10:30 AM,Faculty11,Student55
S 10:30 AM,Faculty29,Student66
S 10:30 AM,Faculty22,Student70
S 10:30 AM,Faculty9,Student72
S 10:30 AM,Faculty32,Student74
S 10:30 AM,Faculty43,Student14
S 10:30 AM,Faculty39,Student34
S 10:30 AM,Faculty17,Student37
S 10:30 AM,Faculty4,Student46
S 10:30 AM,Faculty23,Student49
S 10:30 AM,Faculty8,Student52
S 10:30 AM,Faculty6,Student53
S 10:30 AM,Faculty26,Student26
S 10:30 AM,Faculty10,Student73
S 10:30 AM,Faculty27,Student11
S 11:00 AM,Faculty12,Student53
S 11:00 AM,Faculty2,Student24
S 11:00 AM,Faculty24,Student51
S 11:00 AM,Faculty7,Student77
S 11:00 AM,Faculty0,Student10
S 11:00 AM,Faculty18,Student18
S 11:00 AM,Faculty32,Student32
S 11:00 AM,Faculty21,Student40
S 11:00 AM,Faculty9,Student75
S 11:00 AM,Faculty10,Student1
S 11:00 AM,Faculty29,Student13
S 11:00 AM,Faculty43,Student21
S 11:00 AM,Faculty11,Student23
S 11:00 AM,Faculty17,Student36
S 11:00 AM,Faculty8,Student58
S 11:00 AM,Faculty19,Student70
S 11:00 AM,Faculty23,Student73
S 11:00 AM,Faculty39,Student2
S 11:00 AM,Faculty6,Student14
S 11:00 AM,Faculty31,Student49
S 11:00 AM,Faculty26,Student63
S 11:00 AM,Faculty27,Student47
S 11:30 AM,Faculty12,Student28
S 11:30 AM,Faculty2,Student29
S 11:30 AM,Faculty24,Student61
S 11:30 AM,Faculty0,Student30
S 11:30 AM,Faculty21,Student41
S 11:30 AM,Faculty18,Student48
S 11:30 AM,Faculty9,Student76
S 11:30 AM,Faculty7,Student5
S 11:30 AM,Faculty43,Student24
S 11:30 AM,Faculty29,Student39
S 11:30 AM,Faculty32,Student40
S 11:30 AM,Faculty17,Student54
S 11:30 AM,Faculty8,Student74
S 11:30 AM,Faculty39,Student13
S 11:30 AM,Faculty6,Student21
S 11:30 AM,Faculty23,Student34
S 11:30 AM,Faculty26,Student36
S 11:30 AM,Faculty11,Student47
S 11:30 AM,Faculty19,Student14
S 11:30 AM,Faculty41,Student73
